Jahr,QuarSort,QuarLang,AnzSterWir
2005,44,"Hard",99
2005,51,"Gewerbeschule",71
2005,52,"Escher Wyss",9
2005,61,"Unterstrass",151
2005,63,"Oberstrass",82
2005,71,"Fluntern",70
2005,72,"Hottingen",107
2005,73,"Hirslanden",98
2005,74,"Witikon",146
2005,81,"Seefeld",23
2005,82,"Mühlebach",52
2005,83,"Weinegg",62
2005,91,"Albisrieden",240
2005,92,"Altstetten",216
2005,101,"Höngg",236
2005,102,"Wipkingen",195
2005,111,"Affoltern",154
2005,115,"Oerlikon",128
2005,119,"Seebach",149
2005,121,"Saatlen",36
2005,122,"Schwamendingen-Mitte",88
2005,123,"Hirzenbach",167
2006,11,"Rathaus",20
2006,12,"Hochschulen",28
2006,13,"Lindenhof",9
2006,14,"City",7
2006,21,"Wollishofen",276
2006,23,"Leimbach",71
2006,24,"Enge",80
2006,31,"Alt-Wiedikon",92
2006,33,"Friesenberg",123
2006,34,"Sihlfeld",219
2006,41,"Werd",47
2006,42,"Langstrasse",74
2006,44,"Hard",87
2006,51,"Gewerbeschule",56
2006,52,"Escher Wyss",12
2006,61,"Unterstrass",117
2006,63,"Oberstrass",77
2006,71,"Fluntern",59
2006,72,"Hottingen",112
2006,73,"Hirslanden",104
2006,74,"Witikon",156
2006,81,"Seefeld",34
2006,82,"Mühlebach",60
2006,83,"Weinegg",69
2006,91,"Albisrieden",209
2006,92,"Altstetten",235
2006,101,"Höngg",183
2006,102,"Wipkingen",159
2006,111,"Affoltern",136
2006,115,"Oerlikon",123
2006,119,"Seebach",148
2006,121,"Saatlen",43
2006,122,"Schwamendingen-Mitte",92
2006,123,"Hirzenbach",121
2007,11,"Rathaus",22
2007,12,"Hochschulen",29
2007,13,"Lindenhof",3
2007,14,"City",5
2007,21,"Wollishofen",238
2007,23,"Leimbach",85
2007,24,"Enge",76
2007,31,"Alt-Wiedikon",83
2007,33,"Friesenberg",95
2007,34,"Sihlfeld",176
2007,41,"Werd",51
2007,42,"Langstrasse",68
2007,44,"Hard",89
2007,51,"Gewerbeschule",67
2007,52,"Escher Wyss",12
2007,61,"Unterstrass",149
2007,63,"Oberstrass",89
2007,71,"Fluntern",72
2007,72,"Hottingen",106
2007,73,"Hirslanden",87
2007,74,"Witikon",160
2007,81,"Seefeld",25
2007,82,"Mühlebach",41
2007,83,"Weinegg",84
2007,91,"Albisrieden",218
2007,92,"Altstetten",230
2007,101,"Höngg",207
2007,102,"Wipkingen",194
2007,111,"Affoltern",153
2007,115,"Oerlikon",176
2007,119,"Seebach",150
2007,121,"Saatlen",28
2007,122,"Schwamendingen-Mitte",101
2007,123,"Hirzenbach",111
2008,11,"Rathaus",18
2008,12,"Hochschulen",20
2008,13,"Lindenhof",10
2008,14,"City",5
2008,21,"Wollishofen",256
2008,23,"Leimbach",87
2008,24,"Enge",75
2008,31,"Alt-Wiedikon",88
2008,33,"Friesenberg",120
2008,34,"Sihlfeld",178
2008,41,"Werd",32
2008,42,"Langstrasse",64
2008,44,"Hard",108
2008,51,"Gewerbeschule",48
2008,52,"Escher Wyss",18
2008,61,"Unterstrass",162
2008,63,"Oberstrass",102
2008,71,"Fluntern",79
2008,72,"Hottingen",87
2008,73,"Hirslanden",80
2008,74,"Witikon",146
2008,81,"Seefeld",31
2008,82,"Mühlebach",36
2008,83,"Weinegg",78
2008,91,"Albisrieden",221
2008,92,"Altstetten",236
2008,101,"Höngg",210
2008,102,"Wipkingen",171
2008,111,"Affoltern",137
2008,115,"Oerlikon",143
2008,119,"Seebach",159
2008,121,"Saatlen",47
2008,122,"Schwamendingen-Mitte",88
2008,123,"Hirzenbach",108
2009,11,"Rathaus",23
2009,12,"Hochschulen",25
2009,13,"Lindenhof",9
2009,14,"City",6
2009,21,"Wollishofen",266
2009,23,"Leimbach",63
2009,24,"Enge",77
2009,31,"Alt-Wiedikon",107
2009,33,"Friesenberg",117
2009,34,"Sihlfeld",176
2009,41,"Werd",35
2009,42,"Langstrasse",71
2009,44,"Hard",93
2009,51,"Gewerbeschule",78
2009,52,"Escher Wyss",9
2009,61,"Unterstrass",151
2009,63,"Oberstrass",85
2009,71,"Fluntern",56
2009,72,"Hottingen",102
2009,73,"Hirslanden",96
2009,74,"Witikon",156
2009,81,"Seefeld",34
2009,82,"Mühlebach",31
2009,83,"Weinegg",67
2009,91,"Albisrieden",218
2009,92,"Altstetten",201
2009,101,"Höngg",217
2009,102,"Wipkingen",153
2009,111,"Affoltern",134
2009,115,"Oerlikon",167
2009,119,"Seebach",167
2009,121,"Saatlen",47
2009,122,"Schwamendingen-Mitte",87
2009,123,"Hirzenbach",93
2010,11,"Rathaus",19
2010,12,"Hochschulen",17
2010,13,"Lindenhof",7
2010,14,"City",10
2010,21,"Wollishofen",242
2010,23,"Leimbach",61
2010,24,"Enge",79
2010,31,"Alt-Wiedikon",77
2010,33,"Friesenberg",140
2010,34,"Sihlfeld",160
2010,41,"Werd",48
2010,42,"Langstrasse",61
2010,44,"Hard",99
2010,51,"Gewerbeschule",67
2010,52,"Escher Wyss",5
2010,61,"Unterstrass",133
2010,63,"Oberstrass",90
2010,71,"Fluntern",84
2010,72,"Hottingen",133
2010,73,"Hirslanden",91
2010,74,"Witikon",155
